"Country","beds","HealthPosts","HealthCenters","RuralHospitals","ProvHospitals","SpecHospitals","Hospitals","Revenue","Expenditure","Surplus","SurplusPercent","ihdi","hdi","pbi","CorporatePercent","IncomeHighPercent","VATpercent","Domestic_general_government_health_expenditure","Current_health_expenditure","Out_of_pocket_health_expenditure","UHC_service_coverage_index","GovernmentHealthExp.P.C","cases","deads","mortality","deadsPER100k","doctors_density","nursing_density"
"Afghanistan",0.4,2.95,1.22,0.18,0.1,0.09,0.37,1992,6636,-4644,-22.1,NA,NA,6.945e+10,20,"20","0",5.09581863880157,11.7771938443184,75.482577085495,37,3,39870,1479,3.7,3.98,0.28,0.1755
"Algeria",1.9,NA,NA,NA,NA,NA,NA,52080,70740,-18660,-10.6,0.604,0.759,6.3e+11,26,"35","19",65.9546911716461,6.37432187795639,32.5488388538361,78,170,53325,1809,3.4,4.28,1.79,2.2228
"Antigua and Barbuda",2.9,NA,NA,NA,NA,1.11,1.11,296,323,-27,-1.8,NA,NA,2.398e+09,NA,NA,NA,47.0349878072739,4.53353188931942,34.9848866462708,73,317,111,3,2.7,3.12,2.96,4.4969
"Argentina",5,NA,NA,NA,NA,NA,NA,123300,161100,-37800,-6.1,0.714,0.83,9.221e+11,30,"35","21",72.4321186542511,9.12431478500366,15.0185272097588,76,959,903730,24186,2.7,54.36,3.99,2.5996
"Armenia",4.2,8,0.54,1.81,1.58,0.64,4.03,2536,2910,-374,-3.4,0.685,0.76,2.834e+10,20,"36","20",13.2446691393852,10.3627048432827,84.348076581955,69,54,56821,1026,1.8,34.76,4.4,6.107
"Australia",3.8,NA,NA,NA,NA,NA,NA,461000,484900,-23900,-1.7,0.862,0.938,1.248e+12,30,"45","10",68.9128518104553,9.20594781637192,18.1521028280258,87,3674,27310,899,3.3,3.6,3.68,12.5508
"Austria",7.4,NA,NA,NA,NA,NA,NA,197800,201900,-4100,-1,0.843,0.914,4.41e+11,25,"55","20",72.3925411701202,10.3966169059277,19.2032665014267,79,3944,56298,855,1.5,9.66,5.17,7.0899
"Bahamas",3,39.75,0,0,0.79,0.26,1.06,2100,2600,-500,-5.5,NA,NA,1.206e+10,0,"0","12",43.8695639371872,5.75888901948929,30.9824675321579,75,777,5163,108,2.1,28.01,2.01,3.2512
"Bangladesh",0.8,6.21,0.02,0.04,0.08,0.04,0.17,44436,61536,NA,NA,0.465,0.614,6.903e+11,35,"25","15",16.693340241909,2.27424874901772,73.8847374916077,48,6,379738,5555,1.5,3.44,0.54,0.3163
"Barbados",6,3.86,0,0,0.7,0.35,1.05,1350,1650,-300,-6.2,0.675,0.813,5.218e+09,5.5,"38","17.5",44.2008912563324,6.77912682294846,46.3035732507706,77,523,208,7,3.4,2.44,2.48,3.0189
