"Country","nursing_density"
"Afghanistan",0.1755
"Algeria",2.2228
"Antigua and Barbuda",4.4969
"Argentina",2.5996
"Armenia",6.107
"Australia",12.5508
"Austria",7.0899
"Bahamas",3.2512
"Bangladesh",0.3163
"Barbados",3.0189
"Belgium",18.9734
"Belize",185.314
"Bhutan",1.6349
"Bolivia (Plurinational State of)",1.5589
"Bosnia and Herzegovina",5.5647
"Brazil",9.737
"Brunei Darussalam",6.0989
"Burkina Faso",0.8829
"Burundi",0.8526
"Cabo Verde",1.28
"Cambodia",0.7007
"Canada",9.9491
"Chad",0.2322
"Chile",12.1372
"China",2.6621
"Colombia",1.2714
"Cook Islands",6.1143
"Costa Rica",3.1798
"Côte d'Ivoire",0.5558
"Cuba",7.7286
"Czechia",8.3955
"Democratic People's Republic of Korea",4.4489
"Democratic Republic of the Congo",0.8974
"Dominica",6.0979
"Dominican Republic",1.1697
"Ecuador",2.8265
"Egypt",1.9271
"El Salvador",1.8375
"Equatorial Guinea",0.5024
"Eritrea",1.3267
"Estonia",6.5272
"Eswatini",3.9394
"Ethiopia",0.8286
"France",11.162
"Gabon",2.946
"Georgia",4.8564
"Germany",13.2352
"Ghana",2.3519
"Greece",3.6331
"Grenada",3.0568
"Guatemala",0.0686
"Guyana",0.7869
"Honduras",0.7378
"Hungary",6.8037
"Iceland",15.7087
"India",2.1079
"Indonesia",2.0532
"Iran (Islamic Republic of)",2.6286
"Iraq",1.8126
"Ireland",16.0996
"Israel",5.7002
"Italy",6.0605
"Jamaica",1.4674
"Jordan",3.3598
"Kenya",1.0587
"Kuwait",7.3489
"Lao People's Democratic Republic",1.2643
"Latvia",4.7517
"Lebanon",1.6418
"Libya",6.5305
"Lithuania",7.9795
"Luxembourg",12.1744
"Malaysia",3.4676
"Maldives",6.4927
"Mauritania",1.0673
"Mauritius",3.5152
"Mexico",2.5076
"Mongolia",3.8313
"Morocco",1.3887
"Mozambique",0.6842
"Myanmar",1.0054
"Namibia",2.0199
"Nepal",2.8479
"Netherlands",11.1839
"New Zealand",12.3207
"Nicaragua",1.5524
"Norway",18.1559
"Oman",4.2731
"Pakistan",0.5986
"Panama",3.0866
"Papua New Guinea",0.2253
"Paraguay",0.7387
"Peru",2.213
"Philippines",5.2744
"Poland",5.7029
"Portugal",6.9746
"Republic of Korea",7.1203
"Republic of Moldova",4.9235
"Romania",7.3891
"Russian Federation",8.5429
"Rwanda",1.1229
"Saint Lucia",3.1547
"Saint Vincent and the Grenadines",6.3115
"Sao Tome and Principe",0.0097
"Saudi Arabia",5.4627
"Senegal",0.3127
"Singapore",6.2432
"Slovakia",0.3187
"Slovenia",9.9745
"South Africa",1.3078
"Spain",5.7295
"Sri Lanka",1.9966
"Sudan",0.6952
"Suriname",1.9281
"Sweden",11.8164
"Switzerland",17.5357
"Thailand",2.9573
"Timor-Leste",1.7413
"Togo",0.4201
"Trinidad and Tobago",5.6441
"Tunisia",2.5136
"Turkey",2.7107
"Uganda",1.4686
"United Arab Emirates",5.6829
"United Kingdom of Great Britain and Northern Ireland",8.2245
"United Republic of Tanzania",0.5843
"United States of America",14.548
"Uruguay",1.9412
"Yemen",0.7682
"Zambia",1.2988
"Zimbabwe",2.5972
