"Country","beds","HealthPosts","HealthCenters","RuralHospitals","ProvHospitals","SpecHospitals","Hospitals"
"Afghanistan",0.4,2.95,1.22,0.18,0.1,0.09,0.37
"Albania",2.9,13.08,NA,0.72,0.35,0.28,1.36
"Algeria",1.9,NA,NA,NA,NA,NA,NA
"Andorra",2.5,NA,NA,NA,NA,NA,NA
"Antigua and Barbuda",2.9,NA,NA,NA,NA,1.11,1.11
"Argentina",5,NA,NA,NA,NA,NA,NA
"Armenia",4.2,8,0.54,1.81,1.58,0.64,4.03
"Australia",3.8,NA,NA,NA,NA,NA,NA
"Austria",7.4,NA,NA,NA,NA,NA,NA
"Azerbaijan",4.8,NA,7.44,5.31,2.12,0.53,7.97
"Bahamas",3,39.75,0,0,0.79,0.26,1.06
"Bahrain",1.7,NA,NA,NA,NA,NA,NA
"Bangladesh",0.8,6.21,0.02,0.04,0.08,0.04,0.17
"Barbados",6,3.86,0,0,0.7,0.35,1.05
"Belarus",10.8,15.36,2.86,4.11,2.79,0.55,7.45
"Belgium",5.7,NA,NA,NA,NA,NA,NA
"Belize",1,12.05,12.05,1.21,0.3,0.6,2.11
"Benin",0.5,NA,5.45,0.25,0.05,0.11,0.41
"Bhutan",NA,25.47,1.59,1.33,0.27,0.13,1.72
"Bolivia",1.3,13.79,8.78,0.78,NA,0.29,1.07
"Bosnia and Herzegovina",3.5,42.04,0,0.03,0.86,0.13,1.02
"Botswana",1.8,NA,NA,0.79,0.35,0.15,1.29
"Brazil",2.1,NA,NA,NA,NA,NA,NA
"Brunei",2.9,NA,NA,NA,NA,NA,NA
"Brunei Darussalam",NA,3.35,0.48,0.72,0.48,0.24,1.44
"Bulgaria",7.5,NA,NA,NA,NA,NA,NA
"Burkina Faso",0.4,NA,11.89,0.25,0,0.05,0.31
"Burma",1,NA,NA,NA,NA,NA,NA
"Burundi",0.8,0,5.01,0.32,0.15,0.03,0.5
"Cabo Verde",2.1,NA,NA,NA,NA,NA,NA
"Cambodia",1.9,0.75,6.55,0.4,0.11,0.06,0.57
"Cameroon",1.3,7.43,0.63,0.67,0.08,0.04,0.79
"Canada",2.5,NA,NA,0.85,1.29,0.13,2.27
"Cape Verde",1.7,33.47,3.81,0.6,0,0.4,1
"Central African Republic",1,12.17,1.99,0.28,0.11,0.09,0.48
"Chad",NA,5.88,0,0.5,0.15,0.01,0.65
"Chile",2.1,10.69,0.12,0.57,0.12,0.35,1.04
"China",4.3,NA,NA,NA,NA,NA,NA
"Colombia",1.7,NA,NA,NA,NA,NA,NA
"Comoros",2.2,7.08,1.63,0.27,0.27,0.14,0.68
"Costa Rica",1.1,2.11,0.7,0.27,0.29,0.29,0.84
