"Country","Revenue","Expenditure","Surplus","SurplusPercent","ihdi","hdi","pbi","CorporatePercent","IncomeHighPercent","VATpercent"
"Afghanistan",1992,6636,-4644,-22.1,NA,NA,6.945e+10,"20","20","0"
"Albania",3486,3765,-279,-2.1,0.705,0.791,3.601e+10,"15","23","20"
"Algeria",52080,70740,-18660,-10.6,0.604,0.759,6.3e+11,"26","35","19"
"American Samoa",241,244,-3,NA,NA,NA,6.58e+08,"44","6","0"
"Andorra",1872,2060,-322,-6.9,NA,NA,3.327e+09,"10","10","4.5"
"Angola",35590,44640,-9050,-7.3,0.392,0.574,1.936e+11,"30","17","10"
"Anguilla",95,86,8,NA,NA,NA,175400000,"0","0","0"
"Antigua and Barbuda",296,323,-27,-1.8,NA,NA,2.398e+09,NA,NA,NA
"Argentina",123300,161100,-37800,-6.1,0.714,0.83,9.221e+11,"30","35","21"
"Armenia",2536,2910,-374,-3.4,0.685,0.76,2.834e+10,"20","36","20"
"Aruba",697,752,-55,NA,NA,NA,4.158e+09,"25","58.95","1.5"
"Australia",461000,484900,-23900,-1.7,0.862,0.938,1.248e+12,"30","45","10"
"Austria",197800,201900,-4100,-1,0.843,0.914,4.41e+11,"25","55","20"
"Azerbaijan",9852,10400,-548,-1.4,0.683,0.754,1.722e+11,"20","25","18"
"Azores",NA,NA,NA,NA,NA,NA,NA,"13.6","36.2","4"
"Bahamas",2100,2600,-500,-5.5,NA,NA,1.206e+10,"0","0","12"
"Bahrain",5463,9281,-3818,-11.3,NA,NA,7.117e+10,"0","0","5"
"Bangladesh",44436,61536,NA,NA,0.465,0.614,6.903e+11,"35","25","15"
"Barbados",1350,1650,-300,-6.2,0.675,0.813,5.218e+09,"5.5","38","17.5"
"Belarus",22800,22540,260,0.5,0.765,0.817,1.794e+11,"18","17","20"
"Belgium",249700,260000,-10300,-2.1,0.849,0.919,5.292e+11,"29.58","50","21"
"Belize",500,550,-50,-2.7,0.558,0.72,3.218e+09,NA,"25","12.5"
"Benin",1372,2261,-889,-9.4,0.327,0.52,2.539e+10,"35","35","18"
"Bermuda",960,1154,-194,NA,NA,NA,6.127e+09,"0",NA,NA
"Bhutan",693,819,-126,-5.4,0.45,0.617,7.205e+09,"26","25",NA
"Bolivia",15010,17350,-2340,-6.2,0.533,0.703,8.372e+10,"29","25","13"
"Bosnia and Herzegovina",7798,7996,-198,-1.1,0.658,0.769,4.483e+10,"10","10","17"
"Botswana",5609,6072,-463,-2.8,NA,NA,3.901e+10,"22","25","12"
"Brazil",618853,779532,-160679,-7.8,0.574,0.761,3.248e+12,"34","27.5","25"
"British Virgin Islands",300,300,0,NA,NA,NA,5e+08,"0","0",NA
"Brunei",1435,4017,-2582,-21.6,NA,NA,3.387e+10,"20","0",NA
"Bulgaria",19530,20310,-780,-1.4,0.713,0.816,1.535e+11,"10","10","20"
