Entity,Code,Year,"3.c.1 - Health worker density, by type of occupation (per 10,000 population) - SH_MED_HEAWOR - Pharmacists"
Afghanistan,AFG,2001,0.25
Afghanistan,AFG,2005,0.359
Afghanistan,AFG,2006,0.321
Afghanistan,AFG,2007,0.312
Afghanistan,AFG,2008,0.304
Afghanistan,AFG,2009,0.302
Afghanistan,AFG,2010,0.283
Afghanistan,AFG,2011,0.281
Afghanistan,AFG,2012,0.275
Afghanistan,AFG,2014,0.522
Afghanistan,AFG,2015,0.507
Afghanistan,AFG,2016,0.483
Albania,ALB,2010,4.503
Albania,ALB,2011,4.743
Albania,ALB,2013,8.362
Algeria,DZA,2002,1.692
Algeria,DZA,2005,1.834
Algeria,DZA,2007,2.162
Andorra,AND,2003,9.29
Andorra,AND,2015,10.128
Angola,AGO,2004,0.487
Antigua and Barbuda,ATG,2007,1.641
Argentina,ARG,2001,5.651
Argentina,ARG,2004,5.038
Armenia,ARM,2010,0.427
Armenia,ARM,2011,0.421
Armenia,ARM,2012,0.434
Armenia,ARM,2013,0.511
Armenia,ARM,2014,0.516
Australia,AUS,2001,7.243
Australia,AUS,2006,7.456
Australia,AUS,2009,10.028
Australia,AUS,2010,8.697
Australia,AUS,2011,6.771
Australia,AUS,2012,9.347
Australia,AUS,2013,8.288
Australia,AUS,2014,8.386
Australia,AUS,2015,8.528
Australia,AUS,2016,8.688
Austria,AUT,2010,6.634
Austria,AUT,2011,6.738
Austria,AUT,2012,6.836
Austria,AUT,2013,6.899
Austria,AUT,2014,6.949
Austria,AUT,2015,7.033
Austria,AUT,2016,7.11
Azerbaijan,AZE,2010,2.027
Azerbaijan,AZE,2011,1.812
Azerbaijan,AZE,2012,1.8
Azerbaijan,AZE,2013,2.079
Azerbaijan,AZE,2014,1.996
Bahamas,BHS,2008,3.958
Bahamas,BHS,2011,5.51
Bahrain,BHR,2000,1.911
Bahrain,BHR,2001,1.935
Bahrain,BHR,2002,1.823
Bahrain,BHR,2003,1.785
