"Country","Year","Pharmacists  (per 10 000 population)"
"Afghanistan","2016","0.473"
"Australia","2016","8.639"
"Austria","2016","7.081"
"Belgium","2016","12.221"
"Benin","2016","0.012"
"Bhutan","2016","0.312"
"Bolivia (Plurinational State of)","2016","2.245"
"Burkina Faso","2016","0.126"
"Cabo Verde","2016","0.075"
"Cameroon","2016","0.083"
"Canada","2016","11.238"
"Chile","2016","4.7"
"Congo","2016","0.383"
"Costa Rica","2016","7.295"
"Czechia","2016","6.754"
"Democratic People's Republic of Korea","2016","3.989"
"Democratic Republic of the Congo","2016","0.051"
"Denmark","2016","5.216"
"Egypt","2016","4.04"
"Estonia","2016","7.315"
"France","2016","10.828"
"Gabon","2016","0.229"
"Georgia","2016","1.078"
"Germany","2016","6.379"
"Greece","2016","10.645"
"Grenada","2016","6.8"
"Guinea","2016","0.091"
"Guinea-Bissau","2016","0.028"
"Hungary","2016","7.539"
"Iceland","2016","4.997"
"India","2016","5.599"
"Iraq","2016","2.642"
"Ireland","2016","11.472"
"Israel","2016","7.563"
"Italy","2016","11.551"
"Jamaica","2016","0.217"
"Japan","2016","18.017"
"Jordan","2016","15.34"
"Kiribati","2016","0.267"
"Latvia","2016","8.322"
"Lebanon","2016","11.794"
"Luxembourg","2016","7.008"
"Madagascar","2016","0.002"
"Malawi","2016",""
"Mali","2016","0.108"
"Mauritius","2016","4.073"
"Netherlands","2016","2.15"
"New Zealand","2016","6.756"
"Niger","2016","0.012"
"Norway","2016","7.808"
"Oman","2016","5.403"
"Poland","2016","7.704"
"Portugal","2016","8.511"
"Qatar","2016","10.387"
"Republic of Korea","2016","6.658"
"Romania","2016","9.287"
"Saudi Arabia","2016","7.859"
"Senegal","2016","0.113"
"Serbia","2016","8.107"
"Seychelles","2016","4.702"
"Sierra Leone","2016","0.112"
"Singapore","2016","5.085"
"Slovenia","2016","6.537"
"Solomon Islands","2016","1.195"
"South Africa","2016","2.716"
"Spain","2016","12.044"
"Sri Lanka","2016","0.735"
"Sweden","2016","7.73"
"Switzerland","2016","6.997"
"Syrian Arab Republic","2016","10.658"
"Thailand","2016","5.186"
"Togo","2016","0.017"
"Trinidad and Tobago","2016","5.009"
"Tunisia","2016","2.294"
"Turkey","2016","3.491"
"United Arab Emirates","2016","7.34"
"United Kingdom of Great Britain and Northern Ireland","2016","8.528"
"Uruguay","2016",""
"Viet Nam","2016","3.387"
"Zambia","2016","0.708"
"Zimbabwe","2016","0.156"
